"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
9211,31.8758853284241,-5.6390932925018,0.450533164866785,-12.5164887565362,6.06597547791893e-36,8.69605474039767e-34
7732,106.354745496868,-2.27030046590973,0.181622676677649,-12.5000936416059,7.45634042946646e-36,1.06332879904611e-33
10085,1293.32265184479,-2.25491525279694,0.180452053847559,-12.4959245667652,7.85774216390574e-36,1.11473531802325e-33
92092,413.940663721452,1.84051224982667,0.147570748813312,12.4720668874227,1.06039414251545e-35,1.4965293084889e-33
27163,2251.18567420499,-2.2669132580295,0.182309600818833,-12.4344151259604,1.69980373356258e-35,2.38655948942152e-33
24137,800.63744149847,1.95298889583501,0.157278272200588,12.4174106728756,2.10256901177209e-35,2.93691152526401e-33
78986,86.903843557414,-3.62536510109699,0.292676604788614,-12.3869316569236,3.07588449797836e-35,4.27453785489463e-33
5348,1712.36073339506,-4.49147444709137,0.362942494097576,-12.3751682983802,3.56146982299675e-35,4.92422918978607e-33
790,1914.90458744415,1.5090714254171,0.122108538145696,12.3584431386487,4.38568321946894e-35,6.03319391575227e-33
102724760,73.2314181032085,-2.96727236342143,0.240236656839752,-12.351455445872,4.78380574955353e-35,6.5478040706703e-33
4916,59.9179223783871,-3.70726725910464,0.300500433012473,-12.3369780933086,5.7265077849978e-35,7.7989309523885e-33
389023,146.877467692033,-4.97497539923204,0.403489111554073,-12.3298876147376,6.25338803197867e-35,8.47411856791219e-33
326624,248.016261533877,-1.82751946009326,0.148409251634309,-12.3140534701731,7.61027953057233e-35,1.02618214779074e-32
762,10706.3355406205,-4.76290904916015,0.387158694644594,-12.302213833871,8.81251936391885e-35,1.18244040608089e-32
